label,roi_name,source,"atlas_file or other information (*to see atlases, on Mac go to Users> bressks1>fsl>data>atlases)"
68,right_RN,ATAG Atlas/MNI05 - RN_R_prob_mni_non_linear_young.nii.gz' - binarized and resampled,"Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
69,PAG,ATAG Atlas/MNI05 - 'PAG_prob_mni_non_linear_young.nii.gz' - binarized and resampled,"Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
70,left_brainstem,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'brainstem', atlas intensity value = 8 (subtracted the PAG mask, then substracted right and left whole brain masks to split into left and right brainstem) ","Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
71,right_brainstem,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'brainstem', atlas intensity value = 8 (subtracted the PAG mask, then substracted right and left whole brain masks to split into left and right brainstem) ","Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
72,left_thalamus,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'right thalamus', atlast intensity value = 15", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
73,right_thalamus,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'right thalamus', atlast intensity value = 4", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
74,left_cerebellar_hemisphere,"Probabalistic Cerebellar Atlas - Thresholded at 50% 
-Cerebellar hemispheres (left and right): IV, V, VI, Crus I, Crus II, VIIb, VIIIa, VIIIb, IX, X added together
-Cerebellar Vermis: Vermis Crus I and II, Vermis VIIb, Vermis VIIIa, Vermis VIIIb, Vermis IX, Vermis X added together
-Cerebellar Medullary Center:  this is mostly white matter, but some of the deep Cerebellar nuclei are also located here (e.g. dentate) - this was created by subtracting a whole brain mask from the Cerebellar hemisphere and cerbellar vermis ROI to get a mask that covered the Cerebellar area not contained within these ROI",Users/bressk1/fsl/data/atlases/Cerebellum/Cerebellum-MNIflirt-maxprob-thr50-2mm.nii.gz
75,right_cerebellar_hemisphere,"Probabalistic Cerebellar Atlas - Thresholded at 50% 
-Cerebellar hemispheres (left and right): IV, V, VI, Crus I, Crus II, VIIb, VIIIa, VIIIb, IX, X added together
-Cerebellar Vermis: Vermis Crus I and II, Vermis VIIb, Vermis VIIIa, Vermis VIIIb, Vermis IX, Vermis X added together
-Cerebellar Medullary Center:  this is mostly white matter, but some of the deep Cerebellar nuclei are also located here (e.g. dentate) - this was created by subtracting a whole brain mask from the Cerebellar hemisphere and cerbellar vermis ROI to get a mask that covered the Cerebellar area not contained within these ROI",Users/bressk1/fsl/data/atlases/Cerebellum/Cerebellum-MNIflirt-maxprob-thr50-2mm.nii.gz
76,cerebellar_vermis,"Probabalistic Cerebellar Atlas - Thresholded at 50% 
-Cerebellar hemispheres (left and right): IV, V, VI, Crus I, Crus II, VIIb, VIIIa, VIIIb, IX, X added together
-Cerebellar Vermis: Vermis Crus I and II, Vermis VIIb, Vermis VIIIa, Vermis VIIIb, Vermis IX, Vermis X added together
-Cerebellar Medullary Center:  this is mostly white matter, but some of the deep Cerebellar nuclei are also located here (e.g. dentate) - this was created by subtracting a whole brain mask from the Cerebellar hemisphere and cerbellar vermis ROI to get a mask that covered the Cerebellar area not contained within these ROI",Users/bressk1/fsl/data/atlases/Cerebellum/Cerebellum-MNIflirt-maxprob-thr50-2mm.nii.gz
77,cerebellar_medullary_center,"Probabalistic Cerebellar Atlas - Thresholded at 50% 
-Cerebellar hemispheres (left and right): IV, V, VI, Crus I, Crus II, VIIb, VIIIa, VIIIb, IX, X added together
-Cerebellar Vermis: Vermis Crus I and II, Vermis VIIb, Vermis VIIIa, Vermis VIIIb, Vermis IX, Vermis X added together
-Cerebellar Medullary Center:  this is mostly white matter, but some of the deep Cerebellar nuclei are also located here (e.g. dentate) - this was created by subtracting a whole brain mask from the Cerebellar hemisphere and cerbellar vermis ROI to get a mask that covered the Cerebellar area not contained within these ROI",Users/bressk1/fsl/data/atlases/Cerebellum/Cerebellum-MNIflirt-maxprob-thr50-2mm.nii.gz
78,left_lateral_IOC,"Harvard Oxford Cortical Atlas thresholded @ 25% - 'lateral occipital cortex, inferior division', atlas intensity value = 23","Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
*These regions were selected because they are defined cortical regions which overlap heavily with functional atlases showing responsiveness to faces as visual stimuli (see https://doi.org/10.1093/cercor/bhaa246 - VisF atlas).  'Face selective' areas recorded in the VisF functional atlas overlap most with these 4 occipito-temporal areas. "
79,right_lateral_IOC,"Harvard Oxford Cortical Atlas thresholded @ 25% - 'lateral occipital cortex, inferior division', atlas intensity value = 23","Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
*These regions were selected because they are defined cortical regions which overlap heavily with functional atlases showing responsiveness to faces as visual stimuli (see https://doi.org/10.1093/cercor/bhaa246 - VisF atlas).  'Face selective' areas recorded in the VisF functional atlas overlap most with these 4 occipito-temporal areas. "
80,left_OFG,"Harvard Oxford Cortical Atlas thresholded @ 25% - 'occipital fusiform gyrus', atlas intensity value = 40","Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
*These regions were selected because they are defined cortical regions which overlap heavily with functional atlases showing responsiveness to faces as visual stimuli (see https://doi.org/10.1093/cercor/bhaa246 - VisF atlas).  'Face selective' areas recorded in the VisF functional atlas overlap most with these 4 occipito-temporal areas. "
81,right_OFG,"Harvard Oxford Cortical Atlas thresholded @ 25% - 'occipital fusiform gyrus', atlas intensity value = 40","Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
*These regions were selected because they are defined cortical regions which overlap heavily with functional atlases showing responsiveness to faces as visual stimuli (see https://doi.org/10.1093/cercor/bhaa246 - VisF atlas).  'Face selective' areas recorded in the VisF functional atlas overlap most with these 4 occipito-temporal areas. "
82,left_temporal_OFC,"Harvard Oxford Cortical Atlas thresholded @ 25% - 'temporal fusiform cortex, posterior division', atlas intensity value = 38","Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
*These regions were selected because they are defined cortical regions which overlap heavily with functional atlases showing responsiveness to faces as visual stimuli (see https://doi.org/10.1093/cercor/bhaa246 - VisF atlas).  'Face selective' areas recorded in the VisF functional atlas overlap most with these 4 occipito-temporal areas. "
83,right_temporal_OFC,"Harvard Oxford Cortical Atlas thresholded @ 25% - 'temporal fusiform cortex, posterior division', atlas intensity value = 38","Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
*These regions were selected because they are defined cortical regions which overlap heavily with functional atlases showing responsiveness to faces as visual stimuli (see https://doi.org/10.1093/cercor/bhaa246 - VisF atlas).  'Face selective' areas recorded in the VisF functional atlas overlap most with these 4 occipito-temporal areas. "
84,left_posterior_TFC,"Harvard Oxford Cortical Atlas thresholded @ 25% - 'temporal occipital fusiform cortex, posterior division', atlas intensity value = 39","Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
*These regions were selected because they are defined cortical regions which overlap heavily with functional atlases showing responsiveness to faces as visual stimuli (see https://doi.org/10.1093/cercor/bhaa246 - VisF atlas).  'Face selective' areas recorded in the VisF functional atlas overlap most with these 4 occipito-temporal areas. "
85,right_posterior_TFC,"Harvard Oxford Cortical Atlas thresholded @ 25% - 'temporal occipital fusiform cortex, posterior division', atlas intensity value = 39","Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
*These regions were selected because they are defined cortical regions which overlap heavily with functional atlases showing responsiveness to faces as visual stimuli (see https://doi.org/10.1093/cercor/bhaa246 - VisF atlas).  'Face selective' areas recorded in the VisF functional atlas overlap most with these 4 occipito-temporal areas. "
86,left_orbitofrontal_cortex,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'frontal orbital cortex', atlas intensity value = 33", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
87,right_orbitofrontal_cortex,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'frontal orbital cortex', atlas intensity value = 33", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
88,left_frontal_pole,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'frontal pole', atlas intensity value = 1", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
89,right_frontal_pole,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'frontal pole', atlas intensity value = 1", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
90,left_frontal_medial_cortex,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'frontal medial cortex', atlas intensity value = 25", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
91,right_frontal_medial_cortex,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'frontal medial cortex', atlas intensity value = 25", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
92,left_subcallosal_cortex,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'subcallosal cortex', atlas intensity value = 27", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
93,right_subcallosal_cortex,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'subcallosal cortex', atlas intensity value = 27", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
94,left_precuneus,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'precuneous cortex', atlas intensity value = 31", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
95,right_precuneus,"Harvard-Oxford subcortical atlas (FSL) tresholded @ 50% - 'precuneous cortex', atlas intensity value = 31", Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
96,left_accumbens,Harvard-Oxford subcortical atlas (FSL) tresholded @ 50%, Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
97,right_accumbens ,Harvard-Oxford subcortical atlas (FSL) tresholded @ 50%, Users/bressks1/fsl/data/atlases/HarvardOxford/HarvardOxford-sub-maxprob-thr50-2mm.nii.gz
